dataset_name,hash_strategy,n,load_factor,m,iterations,insert_time_mean,insert_time_std,search_time_mean,search_time_std,max_chain_length_mean,max_chain_length_std,collision_count_mean,collision_count_std
sorted,universal,1000,0.75,1334,20,1237.825,0.0,1070.035,0.0,3,0.0,333,0.0
sorted,fixed,1000,0.75,1334,30,743.4566666666667,0.0,898.1866666666667,0.0,1,0.0,0,0.0
sorted,universal,1000,0.75,1334,30,860.8666666666667,0.0,1141.7533333333333,0.0,3,0.0,333,0.0
sorted,fixed,1000,0.75,1334,40,1022.015,0.0,823.08,0.0,1,0.0,0,0.0
sorted,universal,1000,0.75,1334,40,997.3175,0.0,1774.69,0.0,3,0.0,333,0.0
sorted,fixed,1000,0.75,1334,50,980.272,0.0,1260.976,0.0,1,0.0,0,0.0
sorted,universal,1000,0.75,1334,50,1051.776,0.0,1519.166,0.0,3,0.0,333,0.0
adversarial,fixed,1000,0.75,1334,10,8315.7,0.0,9056.85,0.0,1000,0.0,999,0.0
adversarial,universal,1000,0.75,1334,10,1301.84,0.0,910.51,0.0,2,0.0,187,0.0
adversarial,fixed,1000,0.75,1334,20,8721.675,0.0,8489.375,0.0,1000,0.0,999,0.0
adversarial,universal,1000,0.75,1334,20,1297.605,0.0,971.475,0.0,2,0.0,187,0.0
adversarial,fixed,1000,0.75,1334,30,7847.33,0.0,12220.886666666667,0.0,1000,0.0,999,0.0
adversarial,universal,1000,0.75,1334,30,1332.6766666666667,0.0,1442.3666666666666,0.0,2,0.0,187,0.0
adversarial,fixed,1000,0.75,1334,40,10232.73,0.0,10621.5925,0.0,1000,0.0,999,0.0
adversarial,universal,1000,0.75,1334,40,1202.31,0.0,1112.06,0.0,2,0.0,187,0.0
adversarial,fixed,1000,0.75,1334,50,8812.846,0.0,8763.408,0.0,1000,0.0,999,0.0
adversarial,universal,1000,0.75,1334,50,974.184,0.0,792.708,0.0,2,0.0,187,0.0
near_duplicate,fixed,1000,0.75,1334,10,689.64,0.0,805.66,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,0.75,1334,10,945.94,0.0,1231.4,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,0.75,1334,20,962.985,0.0,664.775,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,0.75,1334,20,865.28,0.0,844.575,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,0.75,1334,30,844.46,0.0,687.5333333333333,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,0.75,1334,30,781.76,0.0,755.5033333333333,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,0.75,1334,40,737.7075,0.0,916.5275,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,0.75,1334,40,989.63,0.0,887.425,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,0.75,1334,50,806.614,0.0,860.736,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,0.75,1334,50,1334.344,0.0,1142.474,0.0,1,0.0,0,0.0
uniform,fixed,1000,1.0,1000,10,1139.66,0.0,1186.18,0.0,5,0.0,328,0.0
uniform,universal,1000,1.0,1000,10,1015.83,0.0,1466.81,0.0,5,0.0,323,0.0
uniform,fixed,1000,1.0,1000,20,733.24,0.0,1123.305,0.0,5,0.0,328,0.0
uniform,universal,1000,1.0,1000,20,925.195,0.0,1259.055,0.0,5,0.0,323,0.0
uniform,fixed,1000,1.0,1000,30,969.99,0.0,1144.1066666666666,0.0,5,0.0,328,0.0
uniform,universal,1000,1.0,1000,30,1312.4966666666667,0.0,1053.94,0.0,5,0.0,323,0.0
uniform,fixed,1000,1.0,1000,40,777.9975,0.0,809.775,0.0,5,0.0,328,0.0
uniform,universal,1000,1.0,1000,40,1277.685,0.0,838.69,0.0,5,0.0,323,0.0
uniform,fixed,1000,1.0,1000,50,979.486,0.0,1013.056,0.0,5,0.0,328,0.0
uniform,universal,1000,1.0,1000,50,1219.074,0.0,1428.796,0.0,5,0.0,323,0.0
sorted,fixed,1000,1.0,1000,10,1224.82,0.0,1390.34,0.0,1,0.0,0,0.0
sorted,universal,1000,1.0,1000,10,1503.03,0.0,1611.15,0.0,2,0.0,80,0.0
sorted,fixed,1000,1.0,1000,20,1271.745,0.0,1559.015,0.0,1,0.0,0,0.0
sorted,universal,1000,1.0,1000,20,1708.92,0.0,1631.68,0.0,2,0.0,80,0.0
sorted,fixed,1000,1.0,1000,30,1137.0866666666666,0.0,1011.6533333333333,0.0,1,0.0,0,0.0
sorted,universal,1000,1.0,1000,30,1213.7433333333333,0.0,1269.3,0.0,2,0.0,80,0.0
sorted,fixed,1000,1.0,1000,40,1157.0225,0.0,1014.9875,0.0,1,0.0,0,0.0
sorted,universal,1000,1.0,1000,40,1329.1225,0.0,1329.3675,0.0,2,0.0,80,0.0
sorted,fixed,1000,1.0,1000,50,1085.938,0.0,1223.21,0.0,1,0.0,0,0.0
sorted,universal,1000,1.0,1000,50,1578.24,0.0,1559.606,0.0,2,0.0,80,0.0
adversarial,fixed,1000,1.0,1000,10,9492.91,0.0,9943.03,0.0,1000,0.0,999,0.0
adversarial,universal,1000,1.0,1000,10,1267.69,0.0,1125.93,0.0,2,0.0,260,0.0
adversarial,fixed,1000,1.0,1000,20,12836.13,0.0,12400.97,0.0,1000,0.0,999,0.0
adversarial,universal,1000,1.0,1000,20,1404.69,0.0,1833.205,0.0,2,0.0,260,0.0
adversarial,fixed,1000,1.0,1000,30,9214.346666666666,0.0,9367.283333333333,0.0,1000,0.0,999,0.0
adversarial,universal,1000,1.0,1000,30,1051.3966666666668,0.0,1382.1933333333334,0.0,2,0.0,260,0.0
adversarial,fixed,1000,1.0,1000,40,9055.84,0.0,9077.9775,0.0,1000,0.0,999,0.0
adversarial,universal,1000,1.0,1000,40,1246.6425,0.0,1140.395,0.0,2,0.0,260,0.0
adversarial,fixed,1000,1.0,1000,50,9329.764,0.0,8281.928,0.0,1000,0.0,999,0.0
adversarial,universal,1000,1.0,1000,50,1327.472,0.0,1008.128,0.0,2,0.0,260,0.0
near_duplicate,fixed,1000,1.0,1000,10,977.39,0.0,804.62,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,1.0,1000,10,1045.34,0.0,1285.55,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,1.0,1000,20,1041.77,0.0,932.765,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,1.0,1000,20,882.49,0.0,961.65,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,1.0,1000,30,864.8733333333333,0.0,1079.0266666666666,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,1.0,1000,30,1220.01,0.0,1334.8066666666666,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,1.0,1000,40,930.0,0.0,759.3725,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,1.0,1000,40,991.23,0.0,1021.12,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,1.0,1000,50,833.624,0.0,1017.744,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,1.0,1000,50,1072.328,0.0,1318.766,0.0,1,0.0,0,0.0
uniform,fixed,1000,2.0,500,10,1701.18,0.0,2294.57,0.0,7,0.0,537,0.0
uniform,universal,1000,2.0,500,10,2001.63,0.0,1650.37,0.0,6,0.0,523,0.0
uniform,fixed,1000,2.0,500,20,1274.64,0.0,1325.36,0.0,7,0.0,537,0.0
uniform,universal,1000,2.0,500,20,1425.61,0.0,1210.74,0.0,6,0.0,523,0.0
uniform,fixed,1000,2.0,500,30,1140.13,0.0,1275.8833333333334,0.0,7,0.0,537,0.0
uniform,universal,1000,2.0,500,30,1272.76,0.0,1248.5766666666666,0.0,6,0.0,523,0.0
uniform,fixed,1000,2.0,500,40,1027.565,0.0,1206.0275,0.0,7,0.0,537,0.0
uniform,universal,1000,2.0,500,40,1559.8275,0.0,1858.8625,0.0,6,0.0,523,0.0
uniform,fixed,1000,2.0,500,50,1132.972,0.0,1238.022,0.0,7,0.0,537,0.0
uniform,universal,1000,2.0,500,50,1453.628,0.0,2075.766,0.0,6,0.0,523,0.0
sorted,fixed,1000,2.0,500,10,2470.22,0.0,1463.81,0.0,2,0.0,500,0.0
sorted,universal,1000,2.0,500,10,2048.79,0.0,3021.51,0.0,3,0.0,500,0.0
sorted,fixed,1000,2.0,500,20,1371.29,0.0,1103.07,0.0,2,0.0,500,0.0
sorted,universal,1000,2.0,500,20,1081.595,0.0,1337.2,0.0,3,0.0,500,0.0
sorted,fixed,1000,2.0,500,30,915.1533333333333,0.0,938.2033333333334,0.0,2,0.0,500,0.0
sorted,universal,1000,2.0,500,30,1484.4233333333334,0.0,1318.11,0.0,3,0.0,500,0.0
sorted,fixed,1000,2.0,500,40,1033.2825,0.0,1157.2075,0.0,2,0.0,500,0.0
sorted,universal,1000,2.0,500,40,1611.69,0.0,2284.0725,0.0,3,0.0,500,0.0
sorted,fixed,1000,2.0,500,50,994.192,0.0,1447.076,0.0,2,0.0,500,0.0
sorted,universal,1000,2.0,500,50,1722.546,0.0,965.538,0.0,3,0.0,500,0.0
adversarial,fixed,1000,2.0,500,10,13043.37,0.0,18039.1,0.0,1000,0.0,999,0.0
adversarial,universal,1000,2.0,500,10,1584.66,0.0,1717.37,0.0,3,0.0,500,0.0
adversarial,fixed,1000,2.0,500,20,11102.74,0.0,12145.935,0.0,1000,0.0,999,0.0
adversarial,universal,1000,2.0,500,20,1294.43,0.0,1315.87,0.0,3,0.0,500,0.0
adversarial,fixed,1000,2.0,500,30,8140.66,0.0,10289.716666666667,0.0,1000,0.0,999,0.0
adversarial,universal,1000,2.0,500,30,1283.75,0.0,1503.6966666666667,0.0,3,0.0,500,0.0
adversarial,fixed,1000,2.0,500,40,9945.94,0.0,11136.2175,0.0,1000,0.0,999,0.0
adversarial,universal,1000,2.0,500,40,886.0775,0.0,1184.505,0.0,3,0.0,500,0.0
adversarial,fixed,1000,2.0,500,50,7707.656,0.0,8384.812,0.0,1000,0.0,999,0.0
adversarial,universal,1000,2.0,500,50,1078.408,0.0,1054.496,0.0,3,0.0,500,0.0
near_duplicate,fixed,1000,2.0,500,10,847.12,0.0,1161.29,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,2.0,500,10,1140.38,0.0,1088.92,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,2.0,500,20,690.1,0.0,839.71,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,2.0,500,20,866.355,0.0,876.295,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,2.0,500,30,1156.4633333333334,0.0,845.4533333333334,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,2.0,500,30,1112.2333333333333,0.0,1326.08,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,2.0,500,40,909.4625,0.0,796.115,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,2.0,500,40,1100.29,0.0,1110.4575,0.0,1,0.0,0,0.0
near_duplicate,fixed,1000,2.0,500,50,1227.614,0.0,1221.36,0.0,1,0.0,0,0.0
near_duplicate,universal,1000,2.0,500,50,1247.952,0.0,1377.38,0.0,1,0.0,0,0.0
uniform,fixed,5000,0.5,10000,10,1561.65,0.0,1472.08,0.0,4,0.0,849,0.0
uniform,universal,5000,0.5,10000,10,1383.09,0.0,1369.064,0.0,4,0.0,895,0.0
uniform,fixed,5000,0.5,10000,20,905.876,0.0,918.045,0.0,4,0.0,849,0.0
uniform,universal,5000,0.5,10000,20,975.863,0.0,1128.545,0.0,4,0.0,895,0.0
uniform,fixed,5000,0.5,10000,30,839.396,0.0,856.266,0.0,4,0.0,849,0.0
uniform,universal,5000,0.5,10000,30,1020.41,0.0,1069.312,0.0,4,0.0,895,0.0
uniform,fixed,5000,0.5,10000,40,865.502,0.0,744.2235,0.0,4,0.0,849,0.0
uniform,universal,5000,0.5,10000,40,1024.242,0.0,865.4405,0.0,4,0.0,895,0.0
uniform,fixed,5000,0.5,10000,50,896.2736,0.0,984.138,0.0,4,0.0,849,0.0
uniform,universal,5000,0.5,10000,50,1072.2848,0.0,1594.9712,0.0,4,0.0,895,0.0
sorted,fixed,5000,0.5,10000,10,814.29,0.0,1031.362,0.0,1,0.0,0,0.0
sorted,universal,5000,0.5,10000,10,1168.786,0.0,1480.516,0.0,1,0.0,0,0.0
sorted,fixed,5000,0.5,10000,20,1096.035,0.0,1330.085,0.0,1,0.0,0,0.0
sorted,universal,5000,0.5,10000,20,1342.113,0.0,1172.663,0.0,1,0.0,0,0.0
sorted,fixed,5000,0.5,10000,30,1004.718,0.0,1094.0773333333334,0.0,1,0.0,0,0.0
sorted,universal,5000,0.5,10000,30,1135.3186666666666,0.0,944.4173333333333,0.0,1,0.0,0,0.0
sorted,fixed,5000,0.5,10000,40,920.666,0.0,985.6795,0.0,1,0.0,0,0.0
sorted,universal,5000,0.5,10000,40,1245.2,0.0,1181.0025,0.0,1,0.0,0,0.0
sorted,fixed,5000,0.5,10000,50,1089.6276,0.0,943.4604,0.0,1,0.0,0,0.0
sorted,universal,5000,0.5,10000,50,1250.0976,0.0,1155.1292,0.0,1,0.0,0,0.0
adversarial,fixed,5000,0.5,10000,10,34680.156,0.0,33825.7,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.5,10000,10,921.028,0.0,923.192,0.0,1,0.0,0,0.0
adversarial,fixed,5000,0.5,10000,20,30513.257,0.0,37011.409,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.5,10000,20,885.632,0.0,1005.287,0.0,1,0.0,0,0.0
adversarial,fixed,5000,0.5,10000,30,33181.102,0.0,46706.11,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.5,10000,30,1367.1906666666666,0.0,1512.9153333333334,0.0,1,0.0,0,0.0
adversarial,fixed,5000,0.5,10000,40,35503.4465,0.0,42703.0685,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.5,10000,40,1301.211,0.0,1516.4005,0.0,1,0.0,0,0.0
adversarial,fixed,5000,0.5,10000,50,32931.9568,0.0,35226.7172,0.0,5000,0.0,4999,0.0
adversarial,universal,5000,0.5,10000,50,1038.5652,0.0,916.2196,0.0,1,0.0,0,0.0
near_duplicate,fixed,5000,0.5,10000,10,684.46,0.0,631.528,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.5,10000,10,808.092,0.0,678.556,0.0,1,0.0,0,0.0
near_duplicate,fixed,5000,0.5,10000,20,674.627,0.0,713.475,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.5,10000,20,809.359,0.0,718.885,0.0,1,0.0,0,0.0
near_duplicate,fixed,5000,0.5,10000,30,712.6386666666667,0.0,777.992,0.0,1,0.0,0,0.0
near_duplicate,universal,5000,0.5,10000,30,1099.868,0.0,938.11,0.0,1,0.0,0,0.0
