method,distribution,n,m,load_factor,num_hash_functions,insert_time_total_mean,insert_time_total_median,insert_time_total_std,insert_time_per_op_mean,insert_time_per_op_median,insert_time_per_op_std,search_time_total_mean,search_time_total_median,search_time_total_std,search_time_per_op_mean,search_time_per_op_median,search_time_per_op_std,search_comparisons_total_mean,search_comparisons_total_median,search_comparisons_total_std,search_comparisons_avg_mean,search_comparisons_avg_median,search_comparisons_avg_std,max_chain_length_mean,max_chain_length_median,max_chain_length_std,average_chain_length_mean,average_chain_length_median,average_chain_length_std,non_empty_buckets_mean,non_empty_buckets_median,non_empty_buckets_std,empty_buckets_mean,empty_buckets_median,empty_buckets_std,chain_length_stdev_mean,chain_length_stdev_median,chain_length_stdev_std,collision_count_mean,collision_count_median,collision_count_std,unique_keys_mean,unique_keys_median,unique_keys_std
fixed,adversarial,10000,13334,0.75,1,0.3412955638997422,0.34113508299924433,0.0011397261968075186,3.412955638997421e-05,3.411350829992443e-05,1.1397261968075431e-07,1.401554304233529,1.3998803955000767,0.022049919636258936,0.00028031086084670585,0.0002799760791000153,4.4099839272517864e-06,25015635.766666666,25062938.5,189884.70701939173,5003.127153333334,5012.5877,37.97694140387832,10000.0,10000.0,0.0,0.7499625018749062,0.7499625018749062,0.0,1.0,1.0,0.0,13333.0,13333.0,0.0,86.59712798352406,86.59712798352405,0.0,9999.0,9999.0,0.0,10000.0,10000.0,0.0
fixed,adversarial,10000,20000,0.5,1,0.3411317457996726,0.3409519585002272,0.0010154631986598072,3.411317457996726e-05,3.409519585002272e-05,1.0154631986598016e-07,1.4039906555331982,1.4006515210003272,0.024211977422158023,0.00028079813110663967,0.0002801303042000655,4.842395484431609e-06,25015635.766666666,25062938.5,189884.70701939173,5003.127153333334,5012.5877,37.97694140387832,10000.0,10000.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,19999.0,19999.0,0.0,70.70891032960415,70.70891032960415,0.0,9999.0,9999.0,0.0,10000.0,10000.0,0.0
fixed,near_duplicate,1000,500,2.0,1,0.0006731680331237537,0.0006676459997834172,2.817177300561256e-05,6.731680331237537e-07,6.676459997834172e-07,2.8171773005612572e-08,0.0003278291336755501,0.0003275834988016868,3.853005797045245e-06,6.556582673511003e-07,6.551669976033736e-07,7.706011594090504e-09,500.0,500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,0.2,0.0,100.0,100.0,0.0,400.0,400.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,100.0,100.0,0.0
fixed,near_duplicate,1000,1000,1.0,1,0.0006725248333774895,0.0006709374993079109,8.056265398923643e-06,6.725248333774895e-07,6.709374993079109e-07,8.056265398923631e-09,0.0003297513670986518,0.0003291455013822997,3.669691398614001e-06,6.595027341973036e-07,6.582910027645994e-07,7.339382797227988e-09,500.0,500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0.0,100.0,100.0,0.0,900.0,900.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,100.0,100.0,0.0
fixed,near_duplicate,1000,1334,0.75,1,0.0006821514332841616,0.0006730209988745628,4.9229817895218355e-05,6.821514332841617e-07,6.730209988745628e-07,4.9229817895218325e-08,0.00033953599995584227,0.00033070850076910574,3.16529722190317e-05,6.790719999116846e-07,6.614170015382115e-07,6.330594443806341e-08,500.0,500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.07496251874062969,0.07496251874062969,0.0,100.0,100.0,0.0,1234.0,1234.0,0.0,0.26333085562594144,0.26333085562594144,0.0,0.0,0.0,0.0,100.0,100.0,0.0
fixed,near_duplicate,1000,2000,0.5,1,0.0006650223001391472,0.0006649164988630218,2.262909825085406e-06,6.650223001391472e-07,6.649164988630219e-07,2.2629098250854287e-09,0.00032617913311696614,0.00032602050123387016,1.99963105765782e-06,6.523582662339322e-07,6.520410024677404e-07,3.999262115315652e-09,500.0,500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.05,0.05,0.0,100.0,100.0,0.0,1900.0,1900.0,0.0,0.21794494717703367,0.21794494717703367,0.0,0.0,0.0,0.0,100.0,100.0,0.0
fixed,near_duplicate,5000,2500,2.0,1,0.0034498430669676356,0.0034439794999343576,2.144548931796463e-05,6.899686133935272e-07,6.887958999868714e-07,4.28909786359295e-09,0.0016984971333537638,0.0016951034995145164,1.7340620014471405e-05,6.793988533415056e-07,6.780413998058066e-07,6.936248005788559e-09,2500.0,2500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.2,0.2,0.0,500.0,500.0,0.0,2000.0,2000.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,500.0,500.0,0.0
fixed,near_duplicate,5000,5000,1.0,1,0.0034629125334807516,0.00345593749989348,3.758903442568138e-05,6.925825066961503e-07,6.911874999786961e-07,7.517806885136277e-09,0.0016946737000883634,0.0016914165007619886,2.097080506329908e-05,6.778694800353455e-07,6.765666003047955e-07,8.388322025319619e-09,2500.0,2500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1,0.1,0.0,500.0,500.0,0.0,4500.0,4500.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,500.0,500.0,0.0
fixed,near_duplicate,5000,6667,0.75,1,0.003423115299544103,0.0034229584998684004,1.918764229522975e-05,6.846230599088206e-07,6.845916999736801e-07,3.83752845904592e-09,0.0016949916005008466,0.0016867084996192716,2.679199460773276e-05,6.779966402003386e-07,6.746833998477087e-07,1.071679784309314e-08,2500.0,2500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.07499625018749062,0.07499625018749062,0.0,500.0,500.0,0.0,6167.0,6167.0,0.0,0.2633852931454335,0.2633852931454335,0.0,0.0,0.0,0.0,500.0,500.0,0.0
fixed,near_duplicate,5000,10000,0.5,1,0.004331634666353542,0.0034215209998365026,0.00374215145592785,8.663269332707084e-07,6.843041999673004e-07,7.484302911855701e-07,0.0018081097667163703,0.0016948124994087266,0.0002650049623817692,7.232439066865481e-07,6.779249997634907e-07,1.060019849527078e-07,2500.0,2500.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.05,0.05,0.0,500.0,500.0,0.0,9500.0,9500.0,0.0,0.21794494717703367,0.21794494717703367,0.0,0.0,0.0,0.0,500.0,500.0,0.0
