method,distribution,n,m,load_factor,num_hash_functions,trial,insert_time_total,insert_time_per_op,search_time_total,search_time_per_op,search_comparisons_total,search_comparisons_avg,max_chain_length,average_chain_length,non_empty_buckets,empty_buckets,chain_length_stdev,collision_count,unique_keys,p,coefficients
fixed,uniform,1000,2000,0.5,1,10,0.001234874998772284,1.234874998772284e-06,0.0003429589996812865,6.85917999362573e-07,571,1.142,3,0.471,788,1212,0.644328332451709,154,942,,
universal,uniform,1000,2000,0.5,3,10,0.002546583000366809,2.546583000366809e-06,0.0009281249986088369,1.8562499972176738e-06,836,1.672,3,0.471,784,1216,0.6520421765499529,158,942,2.305843009213694e+18,"[[618696799174358726, 2029214271970554437], [1181946042011416434, 1971785935387254006], [855518877651879508, 78523067754061221]]"
fixed,uniform,1000,2000,0.5,1,11,0.0012382919994706754,1.2382919994706754e-06,0.00033400000029359944,6.680000005871989e-07,605,1.21,4,0.4705,767,1233,0.668677612904754,174,941,,
universal,uniform,1000,2000,0.5,3,11,0.0024578339980507735,2.4578339980507736e-06,0.000922249997529434,1.8444999950588681e-06,896,1.792,4,0.4705,742,1258,0.69363517067692,199,941,2.305843009213694e+18,"[[1967359095987829717, 498185230560009946], [1157680175712590001, 1113020793331031894], [1655376568515428791, 831730782862272696]]"
fixed,uniform,1000,2000,0.5,1,12,0.0012642919973586686,1.2642919973586687e-06,0.0003431250006542541,6.862500013085082e-07,590,1.18,3,0.4725,780,1220,0.6566915181422706,165,945,,
universal,uniform,1000,2000,0.5,3,12,0.002499292000720743,2.499292000720743e-06,0.0009350830005132593,1.8701660010265186e-06,889,1.778,4,0.4725,744,1256,0.6915516972721563,201,945,2.305843009213694e+18,"[[2258536001366688123, 1012121370449003109], [686970057059376321, 2051824648104402063], [1124175962628406669, 504983195232581899]]"
fixed,uniform,1000,2000,0.5,1,13,0.001246499999979278,1.246499999979278e-06,0.0003302910008642357,6.605820017284713e-07,573,1.146,3,0.476,807,1193,0.6375139214166229,145,952,,
universal,uniform,1000,2000,0.5,3,13,0.0024882500001695007,2.488250000169501e-06,0.0009035830007633194,1.8071660015266388e-06,840,1.68,5,0.476,750,1250,0.703152899446486,202,952,2.305843009213694e+18,"[[2277903568736387890, 452514279465990313], [2303280692498563247, 697951185415921787], [183691764838410618, 423743168849403417]]"
fixed,uniform,1000,2000,0.5,1,14,0.0012412910000421107,1.2412910000421107e-06,0.00033237500247196294,6.647500049439259e-07,594,1.188,3,0.4725,782,1218,0.6544033542090077,163,945,,
universal,uniform,1000,2000,0.5,3,14,0.0024657920002937317,2.4657920002937315e-06,0.0009207080001942813,1.8414160003885627e-06,833,1.666,4,0.4725,747,1253,0.6908283071791428,198,945,2.305843009213694e+18,"[[1956076132499880650, 26508845497723367], [1505952038662606745, 694384076709536977], [1251442079079685814, 2146666122401106131]]"
fixed,uniform,1000,2000,0.5,1,15,0.0012432910007191822,1.2432910007191822e-06,0.0003379580011824146,6.759160023648291e-07,583,1.166,3,0.4775,790,1210,0.6576425700941203,165,955,,
universal,uniform,1000,2000,0.5,3,15,0.0024797500009299256,2.4797500009299256e-06,0.0009158749999187421,1.8317499998374843e-06,841,1.682,4,0.4775,761,1239,0.6822710238607529,194,955,2.305843009213694e+18,"[[847978861133403702, 1395714462194184430], [518482636670340538, 740682746084312398], [1100716632290196263, 2269261073193213249]]"
